ID,"Módulo del Sistema","Perfil de Usuario",Funcionalidad,"Instrucción (Lo que se debe hacer)","Resultado (Lo que se espera)"
QA-001,"Mis Asignaciones",Analista,Limpiar,"Debe presionar 'Limpiar' para limpiar los campos","Para esperar que el formulario o los filtros vuelvan a su estado original."
QA-002,"Mis Asignaciones",Analista,"Botón de acción","Debe presionar 'Botón de acción' para visualizar los detalles","Para esperar que se muestre toda la información detallada del recurso."
QA-003,"Mis Asignaciones",Analista,"fin_doy_finalizado ? 'bg-teal-700 hover:bg-teal-800' : 'bg-emerald-600 hover:bg-emerald-700' }} text-white text-[9px] font-black px-2.5 py-1 rounded shadow-sm flex items-center gap-1 transition-colors""> @if($carpeta->fin_doy_finalizado)","Debe presionar 'fin_doy_finalizado ? 'bg-teal-700 hover:bg-teal-800' : 'bg-emerald-600 hover:bg-emerald-700' }} text-white text-[9px] font-black px-2.5 py-1 rounded shadow-sm flex items-center gap-1 transition-colors""> @if($carpeta->fin_doy_finalizado)' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-004,"Mis Asignaciones",Analista,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-005,"Mis Asignaciones",Analista,"X Cerrar","Debe presionar 'X Cerrar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-006,"Mis Asignaciones",Analista,"Botón de acción","Debe presionar 'Botón de acción' para exportar la lista","Para esperar que se genere un archivo Excel o PDF con los datos actuales."
QA-007,"Mis Asignaciones",Analista,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-008,"Mis Asignaciones",Analista,@if($esFinalizable),"Debe presionar '@if($esFinalizable)' para ejecutar la acción de finalizarRevision","Para esperar que el sistema procese la solicitud correctamente."
QA-009,"Asignacion Documentos","Auditor ASEM","Asignar () [ Valor Nominal: ]","Debe presionar 'Asignar () [ Valor Nominal: ]' para ejecutar la acción de asignarSeleccionados","Para esperar que el sistema procese la solicitud correctamente."
QA-010,"Asignacion Documentos","Auditor ASEM","Horas en Cola @if ($sortField === 'tiempo_en_cola')","Debe presionar 'Horas en Cola @if ($sortField === 'tiempo_en_cola')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-011,"Facturacion Mensual","Auditor ASEM","Generar Reporte","Debe presionar 'Generar Reporte' para ejecutar la acción de generarReporte","Para esperar que el sistema procese la solicitud correctamente."
QA-012,"Facturacion Mensual","Auditor ASEM",Excel,"Debe presionar 'Excel' para exportar la lista","Para esperar que se genere un archivo Excel o PDF con los datos actuales."
QA-013,"Facturacion Mensual","Auditor ASEM",PDF,"Debe presionar 'PDF' para exportar la lista","Para esperar que se genere un archivo Excel o PDF con los datos actuales."
QA-014,"Facturacion Mensual","Auditor ASEM",Excel,"Debe presionar 'Excel' para exportar la lista","Para esperar que se genere un archivo Excel o PDF con los datos actuales."
QA-015,"Facturacion Mensual","Auditor ASEM",PDF,"Debe presionar 'PDF' para exportar la lista","Para esperar que se genere un archivo Excel o PDF con los datos actuales."
QA-016,"Facturacion Mensual","Auditor ASEM","Ver Trabajadores","Debe presionar 'Ver Trabajadores' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-017,"Facturacion Mensual","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-018,"Facturacion Mensual","Auditor ASEM",Cerrar,"Debe presionar 'Cerrar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-019,"Facturacion Mensual","Auditor ASEM","Exportar Detalle (Excel)","Debe presionar 'Exportar Detalle (Excel)' para exportar la lista","Para esperar que se genere un archivo Excel o PDF con los datos actuales."
QA-020,"Facturacion Mensual","Auditor ASEM","Exportar Detalle (PDF)","Debe presionar 'Exportar Detalle (PDF)' para exportar la lista","Para esperar que se genere un archivo Excel o PDF con los datos actuales."
QA-021,"Gestion Asignacion Automatica","Auditor ASEM",Gestionar,"Debe presionar 'Gestionar' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-022,"Gestion Criticidad General","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para actualizar la información","Para esperar que los nuevos datos se reflejen inmediatamente en pantalla."
QA-023,"Gestion General Documentos Claude","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para borrar el elemento","Para esperar que el sistema confirme la eliminación y actualice la vista."
QA-024,"Gestion General Documentos Claude","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para borrar el elemento","Para esperar que el sistema confirme la eliminación y actualice la vista."
QA-025,"Gestion General Documentos Claude","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para realizar la búsqueda","Para esperar que el sistema encuentre y muestre los registros solicitados."
QA-026,"Gestion General Documentos Claude","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para ejecutar la acción de resetearFiltros","Para esperar que el sistema procese la solicitud correctamente."
QA-027,"Gestion General Documentos Claude","Auditor ASEM","Marcar Todos","Debe presionar 'Marcar Todos' para ejecutar la acción de marcarTodosParaExcluir","Para esperar que el sistema procese la solicitud correctamente."
QA-028,"Gestion General Documentos Claude","Auditor ASEM","Desmarcar Todos","Debe presionar 'Desmarcar Todos' para ejecutar la acción de desmarcarTodosParaExcluir","Para esperar que el sistema procese la solicitud correctamente."
QA-029,"Gestion General Documentos Claude","Auditor ASEM","Asignar ()","Debe presionar 'Asignar ()' para ejecutar la acción de asignarSeleccionados","Para esperar que el sistema procese la solicitud correctamente."
QA-030,"Gestion General Documentos Claude","Auditor ASEM",Desasignar,"Debe presionar 'Desasignar' para ejecutar la acción de desasignarSeleccionados","Para esperar que el sistema procese la solicitud correctamente."
QA-031,"Gestion General Documentos Claude","Auditor ASEM","Revalidar ()","Debe presionar 'Revalidar ()' para ejecutar la acción de revalidarSeleccionados","Para esperar que el sistema procese la solicitud correctamente."
QA-032,"Gestion General Documentos Claude","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-033,"Gestion General Documentos Claude","Auditor ASEM","total() === 0"">","Debe presionar 'total() === 0"">' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-034,"Gestion General Documentos Claude","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-035,"Gestion General Documentos Claude","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-036,"Gestion General Documentos Claude","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-037,"Gestion General Documentos Claude","Auditor ASEM","Horas en Cola @if($sortField === 'tiempo_en_cola') @if($sortDirection === 'asc') @else @endif","Debe presionar 'Horas en Cola @if($sortField === 'tiempo_en_cola') @if($sortDirection === 'asc') @else @endif' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-038,"Gestion General Documentos Claude","Auditor ASEM","F. Validación @if($sortField === 'fecha_validacion') @if($sortDirection === 'asc') @else @endif","Debe presionar 'F. Validación @if($sortField === 'fecha_validacion') @if($sortDirection === 'asc') @else @endif' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-039,"Gestion General Documentos Claude","Auditor ASEM",Auditar,"Debe presionar 'Auditar' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-040,"Gestion General Documentos Claude","Auditor ASEM",Ver,"Debe presionar 'Ver' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-041,"Gestion General Documentos Claude","Auditor ASEM",Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-042,"Gestion General Documentos Claude","Auditor ASEM","Confirmar Modificación","Debe presionar 'Confirmar Modificación' para ejecutar la acción de confirmarModificacionVencimiento","Para esperar que el sistema procese la solicitud correctamente."
QA-043,"Gestion General Documentos Claude","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-044,"Gestion General Documentos Claude","Auditor ASEM","@if($esAuditoriaSoloLectura) Cerrar @else Cancelar @endif","Debe presionar '@if($esAuditoriaSoloLectura) Cerrar @else Cancelar @endif' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-045,"Gestion General Documentos Claude","Auditor ASEM","Iniciar Revalidación","Debe presionar 'Iniciar Revalidación' para ejecutar la acción de iniciarRevalidacionIndividual","Para esperar que el sistema procese la solicitud correctamente."
QA-046,"Gestion General Documentos Claude","Auditor ASEM",Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-047,"Gestion General Documentos Claude","Auditor ASEM","Confirmar y Enviar","Debe presionar 'Confirmar y Enviar' para ejecutar la acción de despacharNotificaciones","Para esperar que el sistema procese la solicitud correctamente."
QA-048,"Gestion General Documentos Claude","Auditor ASEM",Cerrar,"Debe presionar 'Cerrar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-049,"Gestion General Documentos Claude","Auditor ASEM","Generar Reportes","Debe presionar 'Generar Reportes' para exportar la lista","Para esperar que se genere un archivo Excel o PDF con los datos actuales."
QA-050,"Gestion General Documentos Claude","Auditor ASEM",Eliminar,"Debe presionar 'Eliminar' para solicitar la eliminación del registro. Se debe confirmar el mensaje: '¿Está seguro de que desea eliminar esta regla?'","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-051,"Gestion General Documentos Claude","Auditor ASEM","Guardar Regla","Debe presionar 'Guardar Regla' para presionar el botón de guardar","Para esperar que los cambios se almacenen en el sistema y se muestre un mensaje de éxito."
QA-052,"Gestion General Documentos Claude","Auditor ASEM",Cerrar,"Debe presionar 'Cerrar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-053,"Gestion General Documentos Claude","Auditor ASEM",Cerrar,"Debe presionar 'Cerrar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-054,"Gestion General Documentos Respaldo","Auditor ASEM",Buscar,"Debe presionar 'Buscar' para realizar la búsqueda","Para esperar que el sistema encuentre y muestre los registros solicitados."
QA-055,"Gestion General Documentos Respaldo","Auditor ASEM",Resetear,"Debe presionar 'Resetear' para ejecutar la acción de resetearFiltros","Para esperar que el sistema procese la solicitud correctamente."
QA-056,"Gestion General Documentos Respaldo","Auditor ASEM",X,"Debe presionar 'X' para borrar el elemento","Para esperar que el sistema confirme la eliminación y actualice la vista."
QA-057,"Gestion General Documentos Respaldo","Auditor ASEM",X,"Debe presionar 'X' para borrar el elemento","Para esperar que el sistema confirme la eliminación y actualice la vista."
QA-058,"Gestion General Documentos Respaldo","Auditor ASEM","Marcar Todos","Debe presionar 'Marcar Todos' para ejecutar la acción de marcarTodosParaExcluir","Para esperar que el sistema procese la solicitud correctamente."
QA-059,"Gestion General Documentos Respaldo","Auditor ASEM","Desmarcar Todos","Debe presionar 'Desmarcar Todos' para ejecutar la acción de desmarcarTodosParaExcluir","Para esperar que el sistema procese la solicitud correctamente."
QA-060,"Gestion General Documentos Respaldo","Auditor ASEM","Asignar ()","Debe presionar 'Asignar ()' para ejecutar la acción de asignarSeleccionados","Para esperar que el sistema procese la solicitud correctamente."
QA-061,"Gestion General Documentos Respaldo","Auditor ASEM",Desasignar,"Debe presionar 'Desasignar' para ejecutar la acción de desasignarSeleccionados","Para esperar que el sistema procese la solicitud correctamente."
QA-062,"Gestion General Documentos Respaldo","Auditor ASEM","Revalidar ()","Debe presionar 'Revalidar ()' para ejecutar la acción de revalidarSeleccionados","Para esperar que el sistema procese la solicitud correctamente."
QA-063,"Gestion General Documentos Respaldo","Auditor ASEM","Mod. Venc. ()","Debe presionar 'Mod. Venc. ()' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-064,"Gestion General Documentos Respaldo","Auditor ASEM","total() === 0"" title=""Notificar a contratistas de los documentos visibles""> Notificar","Debe presionar 'total() === 0"" title=""Notificar a contratistas de los documentos visibles""> Notificar' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-065,"Gestion General Documentos Respaldo","Auditor ASEM","Informe Prod.","Debe presionar 'Informe Prod.' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-066,"Gestion General Documentos Respaldo","Auditor ASEM","Gestionar Colores","Debe presionar 'Gestionar Colores' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-067,"Gestion General Documentos Respaldo","Auditor ASEM","Mapa de Calor","Debe presionar 'Mapa de Calor' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-068,"Gestion General Documentos Respaldo","Auditor ASEM","Horas en Cola @if($sortField === 'tiempo_en_cola')","Debe presionar 'Horas en Cola @if($sortField === 'tiempo_en_cola')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-069,"Gestion General Documentos Respaldo","Auditor ASEM","Fecha Validación @if($sortField === 'fecha_validacion')","Debe presionar 'Fecha Validación @if($sortField === 'fecha_validacion')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-070,"Gestion General Documentos Respaldo","Auditor ASEM",Auditar,"Debe presionar 'Auditar' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-071,"Gestion General Documentos Respaldo","Auditor ASEM",Ver,"Debe presionar 'Ver' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-072,"Gestion General Documentos Respaldo","Auditor ASEM",Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-073,"Gestion General Documentos Respaldo","Auditor ASEM","Confirmar Modificación","Debe presionar 'Confirmar Modificación' para ejecutar la acción de confirmarModificacionVencimiento","Para esperar que el sistema procese la solicitud correctamente."
QA-074,"Gestion General Documentos Respaldo","Auditor ASEM",×,"Debe presionar '×' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-075,"Gestion General Documentos Respaldo","Auditor ASEM","@if($esAuditoriaSoloLectura) Cerrar @else Cancelar @endif","Debe presionar '@if($esAuditoriaSoloLectura) Cerrar @else Cancelar @endif' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-076,"Gestion General Documentos Respaldo","Auditor ASEM","Iniciar Revalidación","Debe presionar 'Iniciar Revalidación' para ejecutar la acción de iniciarRevalidacionIndividual","Para esperar que el sistema procese la solicitud correctamente."
QA-077,"Gestion General Documentos Respaldo","Auditor ASEM",Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-078,"Gestion General Documentos Respaldo","Auditor ASEM","Confirmar y Enviar","Debe presionar 'Confirmar y Enviar' para ejecutar la acción de despacharNotificaciones","Para esperar que el sistema procese la solicitud correctamente."
QA-079,"Gestion General Documentos Respaldo","Auditor ASEM",Cerrar,"Debe presionar 'Cerrar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-080,"Gestion General Documentos Respaldo","Auditor ASEM","Generar Reportes","Debe presionar 'Generar Reportes' para exportar la lista","Para esperar que se genere un archivo Excel o PDF con los datos actuales."
QA-081,"Gestion General Documentos Respaldo","Auditor ASEM",Eliminar,"Debe presionar 'Eliminar' para solicitar la eliminación del registro. Se debe confirmar el mensaje: '¿Está seguro de que desea eliminar esta regla?'","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-082,"Gestion General Documentos Respaldo","Auditor ASEM","Guardar Regla","Debe presionar 'Guardar Regla' para presionar el botón de guardar","Para esperar que los cambios se almacenen en el sistema y se muestre un mensaje de éxito."
QA-083,"Gestion General Documentos Respaldo","Auditor ASEM",Cerrar,"Debe presionar 'Cerrar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-084,"Gestion General Documentos Respaldo","Auditor ASEM",Cerrar,"Debe presionar 'Cerrar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-085,"Gestion General Documentos","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para borrar el elemento","Para esperar que el sistema confirme la eliminación y actualice la vista."
QA-086,"Gestion General Documentos","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para borrar el elemento","Para esperar que el sistema confirme la eliminación y actualice la vista."
QA-087,"Gestion General Documentos","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para realizar la búsqueda","Para esperar que el sistema encuentre y muestre los registros solicitados."
QA-088,"Gestion General Documentos","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para ejecutar la acción de resetearFiltros","Para esperar que el sistema procese la solicitud correctamente."
QA-089,"Gestion General Documentos","Auditor ASEM","Marcar Todos","Debe presionar 'Marcar Todos' para ejecutar la acción de marcarTodosParaExcluir","Para esperar que el sistema procese la solicitud correctamente."
QA-090,"Gestion General Documentos","Auditor ASEM","Desmarcar Todos","Debe presionar 'Desmarcar Todos' para ejecutar la acción de desmarcarTodosParaExcluir","Para esperar que el sistema procese la solicitud correctamente."
QA-091,"Gestion General Documentos","Auditor ASEM","Desmarcar Todas","Debe presionar 'Desmarcar Todas' para ejecutar la acción de desmarcarTodasColumnasParaExcluir","Para esperar que el sistema procese la solicitud correctamente."
QA-092,"Gestion General Documentos","Auditor ASEM","Asignar ()","Debe presionar 'Asignar ()' para ejecutar la acción de asignarSeleccionados","Para esperar que el sistema procese la solicitud correctamente."
QA-093,"Gestion General Documentos","Auditor ASEM",Desasignar,"Debe presionar 'Desasignar' para ejecutar la acción de desasignarSeleccionados","Para esperar que el sistema procese la solicitud correctamente."
QA-094,"Gestion General Documentos","Auditor ASEM","Revalidar ()","Debe presionar 'Revalidar ()' para ejecutar la acción de revalidarSeleccionados","Para esperar que el sistema procese la solicitud correctamente."
QA-095,"Gestion General Documentos","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-096,"Gestion General Documentos","Auditor ASEM","total() === 0"">","Debe presionar 'total() === 0"">' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-097,"Gestion General Documentos","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-098,"Gestion General Documentos","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-099,"Gestion General Documentos","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-100,"Gestion General Documentos","Auditor ASEM","Horas en Cola @if($sortField === 'tiempo_en_cola') @if($sortDirection === 'asc') @else @endif","Debe presionar 'Horas en Cola @if($sortField === 'tiempo_en_cola') @if($sortDirection === 'asc') @else @endif' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-101,"Gestion General Documentos","Auditor ASEM","F. Validación @if($sortField === 'fecha_validacion') @if($sortDirection === 'asc') @else @endif","Debe presionar 'F. Validación @if($sortField === 'fecha_validacion') @if($sortDirection === 'asc') @else @endif' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-102,"Gestion General Documentos","Auditor ASEM",Auditar,"Debe presionar 'Auditar' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-103,"Gestion General Documentos","Auditor ASEM",Ver,"Debe presionar 'Ver' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-104,"Gestion General Documentos","Auditor ASEM",Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-105,"Gestion General Documentos","Auditor ASEM","Confirmar Modificación","Debe presionar 'Confirmar Modificación' para ejecutar la acción de confirmarModificacionVencimiento","Para esperar que el sistema procese la solicitud correctamente."
QA-106,"Gestion General Documentos","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-107,"Gestion General Documentos","Auditor ASEM","@if($esAuditoriaSoloLectura) Cerrar @else Cancelar @endif","Debe presionar '@if($esAuditoriaSoloLectura) Cerrar @else Cancelar @endif' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-108,"Gestion General Documentos","Auditor ASEM","Iniciar Revalidación","Debe presionar 'Iniciar Revalidación' para ejecutar la acción de iniciarRevalidacionIndividual","Para esperar que el sistema procese la solicitud correctamente."
QA-109,"Gestion General Documentos","Auditor ASEM",Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-110,"Gestion General Documentos","Auditor ASEM","Confirmar y Enviar","Debe presionar 'Confirmar y Enviar' para ejecutar la acción de despacharNotificaciones","Para esperar que el sistema procese la solicitud correctamente."
QA-111,"Gestion General Documentos","Auditor ASEM",Cerrar,"Debe presionar 'Cerrar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-112,"Gestion General Documentos","Auditor ASEM","Generar Reportes","Debe presionar 'Generar Reportes' para exportar la lista","Para esperar que se genere un archivo Excel o PDF con los datos actuales."
QA-113,"Gestion General Documentos","Auditor ASEM",Eliminar,"Debe presionar 'Eliminar' para solicitar la eliminación del registro. Se debe confirmar el mensaje: '¿Está seguro de que desea eliminar esta regla?'","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-114,"Gestion General Documentos","Auditor ASEM","Guardar Regla","Debe presionar 'Guardar Regla' para presionar el botón de guardar","Para esperar que los cambios se almacenen en el sistema y se muestre un mensaje de éxito."
QA-115,"Gestion General Documentos","Auditor ASEM",Cerrar,"Debe presionar 'Cerrar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-116,"Gestion General Documentos","Auditor ASEM",Cerrar,"Debe presionar 'Cerrar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-117,"Gestion Solicitudes Vinculacion","Auditor ASEM","Solicitud Manual","Debe presionar 'Solicitud Manual' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-118,"Gestion Solicitudes Vinculacion","Auditor ASEM","Archivar Completados","Debe presionar 'Archivar Completados' para ejecutar la acción de archivarCompletados. Se debe confirmar el mensaje: '¿Está seguro de archivar todos los contratistas que han completado los 7 pasos?'","Para esperar que el sistema procese la solicitud correctamente."
QA-119,"Gestion Solicitudes Vinculacion","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para ejecutar la acción de marcarPaso","Para esperar que el sistema procese la solicitud correctamente."
QA-120,"Gestion Solicitudes Vinculacion","Auditor ASEM",Guardar,"Debe presionar 'Guardar' para presionar el botón de guardar","Para esperar que los cambios se almacenen en el sistema y se muestre un mensaje de éxito."
QA-121,"Gestion Solicitudes Vinculacion","Auditor ASEM","Guardar Bitácora","Debe presionar 'Guardar Bitácora' para presionar el botón de guardar","Para esperar que los cambios se almacenen en el sistema y se muestre un mensaje de éxito."
QA-122,"Gestion Solicitudes Vinculacion","Auditor ASEM",Aprobar,"Debe presionar 'Aprobar' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-123,"Gestion Solicitudes Vinculacion","Auditor ASEM",Rechazar,"Debe presionar 'Rechazar' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-124,"Gestion Solicitudes Vinculacion","Auditor ASEM","Revertir a Pendiente","Debe presionar 'Revertir a Pendiente' para revertir la acción. Se debe confirmar el mensaje: '¿Está seguro de revertir esta solicitud a PENDIENTE? Se eliminarán las vinculaciones a UOs.'","Para esperar que el sistema deshaga el último cambio y recupere el estado anterior."
QA-125,"Gestion Solicitudes Vinculacion","Auditor ASEM","Revertir a Rechazada","Debe presionar 'Revertir a Rechazada' para revertir la acción. Se debe confirmar el mensaje: '¿Está seguro de revertir esta solicitud a RECHAZADA?'","Para esperar que el sistema deshaga el último cambio y recupere el estado anterior."
QA-126,"Gestion Solicitudes Vinculacion","Auditor ASEM","@if($esSubContratista) Aprobar y Asignar Vinculaciones @else Aprobar y Vincular @endif","Debe presionar '@if($esSubContratista) Aprobar y Asignar Vinculaciones @else Aprobar y Vincular @endif' para dar aprobación","Para esperar que el estado cambie a aprobado y se avance en el flujo de trabajo."
QA-127,"Gestion Solicitudes Vinculacion","Auditor ASEM",Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-128,"Gestion Solicitudes Vinculacion","Auditor ASEM","Confirmar Rechazo","Debe presionar 'Confirmar Rechazo' para rechazar la solicitud","Para esperar que el sistema solicite el motivo y notifique el rechazo."
QA-129,"Gestion Solicitudes Vinculacion","Auditor ASEM",Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-130,"Panel Informes","Auditor ASEM","Tiempos de Validación","Debe presionar 'Tiempos de Validación' para ejecutar la acción de seleccionarInforme(","Para esperar que el sistema procese la solicitud correctamente."
QA-131,"Panel Informes","Auditor ASEM","Texto de Rechazos","Debe presionar 'Texto de Rechazos' para ejecutar la acción de seleccionarInforme(","Para esperar que el sistema procese la solicitud correctamente."
